analysis,waveform,action_id,action_label_en,action_label,phase_node,phase_percent,n_athletes,n_trials_total,min_trials_per_athlete,max_trials_per_athlete,sigma2_athlete,sigma2_trial,boundary_sigma2_athlete_zero,ss_between,ss_within,ms_between,ms_within,pointwise_relative_reliability_m1,pointwise_relative_reliability_m2,pointwise_relative_reliability_m5,pointwise_relative_reliability_m10,pointwise_relative_reliability_m15,pointwise_relative_reliability_m20,pointwise_relative_reliability_m30,pointwise_relative_reliability_m40,pointwise_relative_reliability_m50
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,37,18.5929648241,30,1500,50,50,28.9384809756,20.7053985764,False,42561.2539734,30436.9359073,1467.62944736,20.7053985764,0.582921424288,0.736513405332,0.874814549263,0.933227822034,0.954471877387,0.965460781598,0.976705665024,0.982426910409,0.985891943901
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,38,19.0954773869,30,1500,50,50,28.5549641466,20.5176686713,False,41999.710404,30160.9729468,1448.265876,20.5176686713,0.581891830678,0.735691049658,0.874350199779,0.932963541052,0.954287560681,0.965319336074,0.976609154027,0.982353674902,0.985832940615
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,39,19.5979899497,30,1500,50,50,28.0930568389,20.2267521754,False,41321.5082295,29733.3256979,1424.87959412,20.2267521754,0.581398341839,0.735296511267,0.874127227258,0.932836591395,0.954199010745,0.96525137774,0.976562781475,0.982318484722,0.985804588501
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,40,20.1005025126,30,1500,50,50,27.6354562489,19.9208227342,False,40649.1154203,29283.6094193,1401.69363518,19.9208227342,0.581110567097,0.735066325139,0.873997080086,0.932762477993,0.954147311614,0.965211699434,0.97653570531,0.982297937379,0.98578803368
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,41,20.6030150754,30,1500,50,50,27.0158126702,19.788696578,False,39746.8005725,29089.3839697,1370.57933009,19.788696578,0.577205339915,0.731934295818,0.872221974496,0.931750600492,0.953441196877,0.964669663107,0.976165751394,0.982017161686,0.98556180139
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,42,21.1055276382,30,1500,50,50,26.4038702188,19.5428470668,False,38852.3543822,28727.9851882,1339.73635801,19.5428470668,0.57466282204,0.729886822749,0.871057247098,0.931085618517,0.952976889486,0.964313140328,0.975922341546,0.981832397829,0.985412915795
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,43,21.608040201,30,1500,50,50,26.103549583,19.283348102,False,38409.3639902,28346.5217099,1324.46082725,19.283348102,0.575134034588,0.730266786138,0.87127365143,0.93120923363,0.953063216654,0.964379433791,0.975967606709,0.981866758735,0.985440605184
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,44,22.1105527638,30,1500,50,50,25.5258393732,19.1239185431,False,37567.0607289,28112.1602584,1295.4158872,19.1239185431,0.571690431582,0.72748477702,0.869686456129,0.930301926591,0.952429425257,0.96389265718,0.975635188587,0.981614401028,0.985237236372
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,45,22.6130653266,30,1500,50,50,24.8872376685,18.8343305942,False,36632.6902065,27686.4659734,1263.19621402,18.8343305942,0.569221065424,0.725482314718,0.868540082538,0.92964565294,0.951970746367,0.963540276448,0.975394480823,0.98143163958,0.985089940593
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,46,23.1155778894,30,1500,50,50,24.4875033175,18.4889502848,False,36043.0593687,27178.7569186,1242.86411616,18.4889502848,0.569788832371,0.72594328692,0.86880427293,0.92979696752,0.952076520484,0.963621544825,0.975449999519,0.981473795054,0.985123916569
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,47,23.6180904523,30,1500,50,50,24.1823707953,18.1134104507,False,35589.7265563,26626.7133626,1227.23195022,18.1134104507,0.571744275265,0.72752836993,0.86971137566,0.930316183537,0.952439387357,0.963900309671,0.975640415292,0.981618369246,0.98524043442
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,48,24.1206030151,30,1500,50,50,23.9112439874,17.7753171981,False,35186.7879805,26129.7162812,1213.33751657,17.7753171981,0.573595981713,0.729025732626,0.870566385778,0.930805121269,0.952780975965,0.964162681169,0.975819600551,0.981754403963,0.985350063807
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,49,24.6231155779,30,1500,50,50,23.6027473182,17.5432608583,False,34732.7381763,25788.5934617,1197.68062677,17.5432608583,0.573633952945,0.729056400787,0.870583878454,0.930815119794,0.952787960088,0.964168045145,0.97582326352,0.981757184705,0.985352304724
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,50,25.1256281407,30,1500,50,50,23.452621711,17.4711938898,False,34512.9661037,25682.6550181,1190.10227944,17.4711938898,0.573080035834,0.728608872758,0.870328538666,0.930669153224,0.952685995484,0.964089731967,0.975769783454,0.981716584813,0.985319586231
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,51,25.6281407035,30,1500,50,50,23.2956380887,17.2321848209,False,34278.4085884,25331.3116867,1182.01408926,17.2321848209,0.57480605708,0.730002344728,0.871123053938,0.931123211918,0.953003143776,0.964333302165,0.975936108258,0.98184284826,0.98542133721
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,52,26.1306532663,30,1500,50,50,23.2122742735,17.1656992556,False,34155.602975,25233.5779057,1177.77941293,17.1656992556,0.574874671627,0.730057676314,0.871154569598,0.931141214897,0.953015716368,0.964342957122,0.975942700697,0.981847852612,0.985425369923
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,53,26.6331658291,30,1500,50,50,23.1399995523,17.4391790715,False,34058.7355439,25635.5932351,1174.43915669,17.4391790715,0.570243172412,0.726311927262,0.869015420658,0.929917871252,0.952161028515,0.963686470916,0.975494351754,0.981507470962,0.985151057871
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,54,27.135678392,30,1500,50,50,23.2162646889,17.3923034943,False,34167.9606002,25566.6861366,1178.20553794,17.3923034943,0.571708526737,0.727499427548,0.869694831158,0.930306718149,0.952432773389,0.963895229087,0.975636945221,0.9816157347,0.985238311199
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,55,27.6381909548,30,1500,50,50,23.2766976484,17.5649346799,False,34260.594696,25820.4539794,1181.3998171,17.5649346799,0.569925742961,0.726054395268,0.868867924708,0.929833417569,0.952101998694,0.963641119595,0.975463371618,0.981483948344,0.985132099713
full_balanced_constrained_REML,racket,1,forehand_attack,forehand attack,56,28.1407035176,30,1500,50,50,23.4170847566,17.9569684859,False,34475.5249831,26396.7436743,1188.81120631,17.9569684859,0.565984788082,0.722848385744,0.867027174325,0.928778312654,0.951364234679,0.963074197341,0.975076018892,0.981189807951,0.984895020849
