analysis,waveform,action_id,action_label_en,action_label,trials_m,R_L2_integrated_components,mean_pointwise_reliability
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,5,0.872254362503,0.876225655567
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,10,0.93176908007,0.933782407724
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,15,0.953454096781,0.95479577524
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,20,0.964679567225,0.965684395096
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,30,0.976172512425,0.976840827516
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,40,0.982022293424,0.982522754012
rawlen_le_200_unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,50,0.985565936467,0.985965882063
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,1,0.722202310775,0.694221106456
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,2,0.838696251023,0.815347902895
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,5,0.928564845468,0.91520512976
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,10,0.962959423066,0.955345981637
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,15,0.974997580699,0.969687666002
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,20,0.981130238099,0.977055683955
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,30,0.987340531682,0.984560746672
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,40,0.990475254207,0.988366050569
rawlen_le_200_unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,50,0.992365660337,0.990666448831
