quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,racket,3,FP,14,17.3952402576,15.0780826861,0.866793586224,7.80114227602,8,0
unaltered_nonzero_primary,racket,3,FP,15,17.9162085731,14.5450758096,0.811838941831,7.30655047648,8,0
unaltered_nonzero_primary,racket,3,FP,16,17.872176512,14.7635947558,0.826065854146,7.43459268731,8,0
unaltered_nonzero_primary,racket,3,FP,17,17.858005415,15.1239719558,0.846901521436,7.62211369293,8,0
unaltered_nonzero_primary,racket,3,FP,18,17.7467498968,15.3185167371,0.863173078236,7.76855770412,8,0
unaltered_nonzero_primary,racket,3,FP,19,17.5721089801,14.7602136352,0.839979632034,7.55981668831,8,0
unaltered_nonzero_primary,racket,3,FP,20,17.8030365847,15.2329926331,0.855640135354,7.70076121818,8,0
unaltered_nonzero_primary,racket,3,FP,21,17.9087627341,14.5857177814,0.814445866419,7.33001279777,8,0
unaltered_nonzero_primary,racket,3,FP,22,17.3413114745,15.2562225978,0.879761753903,7.91785578513,8,0
unaltered_nonzero_primary,racket,3,FP,23,17.2881324371,15.1637555411,0.877119353187,7.89407417868,8,0
unaltered_nonzero_primary,racket,3,FP,24,17.9879001781,15.2047079686,0.845274201996,7.60746781797,8,0
unaltered_nonzero_primary,racket,3,FP,25,17.8721161184,15.3843044967,0.860799269366,7.74719342429,8,0
unaltered_nonzero_primary,racket,3,FP,26,17.6156905471,14.7254113912,0.835925866875,7.52333280187,8,0
unaltered_nonzero_primary,racket,3,FP,27,15.4396559052,15.5253724088,1.00555171075,9.04996539672,10,0
unaltered_nonzero_primary,racket,3,FP,28,16.9005205398,14.7689096062,0.873873060383,7.86485754345,8,0
unaltered_nonzero_primary,racket,3,FP,29,17.816911501,14.6709327312,0.823427378551,7.41084640696,8,0
unaltered_nonzero_primary,racket,3,FP,30,17.3806048832,15.418901822,0.887132635811,7.9841937223,8,0
unaltered_nonzero_primary,racket,4,BA,1,26.5746457409,49.7775315287,1.87312117023,16.8580905321,17,0
unaltered_nonzero_primary,racket,4,BA,2,26.9111184314,48.2914002113,1.79447763698,16.1502987328,17,0
unaltered_nonzero_primary,racket,4,BA,3,23.0938826423,48.0479917528,2.08055061581,18.7249555423,19,0
unaltered_nonzero_primary,racket,4,BA,4,26.6061829118,48.6149734812,1.82720586573,16.4448527916,17,0
unaltered_nonzero_primary,racket,4,BA,5,26.2714083526,48.847888917,1.85935554963,16.7341999467,17,0
unaltered_nonzero_primary,racket,4,BA,6,26.5910302177,49.7256520693,1.87001600398,16.8301440358,17,0
unaltered_nonzero_primary,racket,4,BA,7,26.8316704975,49.4682652443,1.84365208453,16.5928687608,17,0
unaltered_nonzero_primary,racket,4,BA,8,26.8109696041,49.4658794196,1.84498659132,16.6048793218,17,0
unaltered_nonzero_primary,racket,4,BA,9,26.9167632418,49.4552154637,1.8373388739,16.5360498651,17,0
unaltered_nonzero_primary,racket,4,BA,10,25.8943288136,47.0476746931,1.81691037569,16.3521933812,17,0
unaltered_nonzero_primary,racket,4,BA,11,26.6259867175,48.6076608983,1.82557219058,16.4301497152,17,0
unaltered_nonzero_primary,racket,4,BA,12,26.5687994652,47.9714648114,1.80555635848,16.2500072263,17,0
unaltered_nonzero_primary,racket,4,BA,13,24.624296469,46.821018905,1.90141549684,17.1127394716,18,0
unaltered_nonzero_primary,racket,4,BA,14,26.581045333,48.6657818716,1.83084529829,16.4776076846,17,0
unaltered_nonzero_primary,racket,4,BA,15,27.060029322,47.5286916352,1.75641685638,15.8077517074,16,0
unaltered_nonzero_primary,racket,4,BA,16,26.9032210033,48.1244522932,1.7887989058,16.0991901522,17,0
unaltered_nonzero_primary,racket,4,BA,17,27.17003311,44.7283918862,1.6462398741,14.8161588669,15,0
unaltered_nonzero_primary,racket,4,BA,18,24.4688669763,48.2226732339,1.97077671314,17.7369904183,18,0
unaltered_nonzero_primary,racket,4,BA,19,25.7827971002,48.5122882321,1.88157584469,16.9341826022,17,0
unaltered_nonzero_primary,racket,4,BA,20,26.664851756,49.5910714141,1.85979175387,16.7381257849,17,0
unaltered_nonzero_primary,racket,4,BA,21,26.8381038921,48.9241758275,1.82293712045,16.4064340841,17,0
unaltered_nonzero_primary,racket,4,BA,22,27.0388554081,48.6415448525,1.79894984896,16.1905486406,17,0
unaltered_nonzero_primary,racket,4,BA,23,26.3372737713,49.1764438091,1.86718049241,16.8046244317,17,0
unaltered_nonzero_primary,racket,4,BA,24,26.6697836756,47.8661588099,1.79477116845,16.1529405161,17,0
unaltered_nonzero_primary,racket,4,BA,25,25.9555587403,48.7121145008,1.87675075648,16.8907568083,17,0
unaltered_nonzero_primary,racket,4,BA,26,26.5767315445,48.2125922631,1.81409035127,16.3268131614,17,0
unaltered_nonzero_primary,racket,4,BA,27,25.1615459672,48.5689315465,1.93028407753,17.3725566978,18,0
unaltered_nonzero_primary,racket,4,BA,28,26.4744046686,49.1600819927,1.85689093327,16.7120183994,17,0
unaltered_nonzero_primary,racket,4,BA,29,26.3311645361,47.8104687458,1.81573696371,16.3416326734,17,0
unaltered_nonzero_primary,racket,4,BA,30,26.9368908072,49.922604503,1.85331725404,16.6798552863,17,0
unaltered_nonzero_primary,racket,5,BD,1,74.5566784135,219.333963984,2.94184194697,26.4765775227,27,0
unaltered_nonzero_primary,racket,5,BD,2,74.3458417462,213.613139123,2.87323586775,25.8591228097,26,0
