quality_rule,waveform,action_id,action_code,participant_code,integrated_within_SS,within_SS_share,integrated_squared_group_mean_deviation,between_distance_share
unaltered_nonzero_primary,racket,3,FP,17,598.237554268,0.0270825603291,6.87360972386,0.0133311746394
unaltered_nonzero_primary,racket,3,FP,18,321.789420027,0.0145675932896,9.77961217533,0.0189672854661
unaltered_nonzero_primary,racket,3,FP,19,1115.13812787,0.0504829484675,14.8087877331,0.0287212314051
unaltered_nonzero_primary,racket,3,FP,20,443.319171866,0.0200693154943,8.30241620367,0.0161023050168
unaltered_nonzero_primary,racket,3,FP,21,1363.09673605,0.061708178173,5.79115321496,0.0112317803852
unaltered_nonzero_primary,racket,3,FP,22,410.309391955,0.0185749436523,20.7872006987,0.0403161968619
unaltered_nonzero_primary,racket,3,FP,23,541.705079632,0.0245233024825,22.2766354784,0.0432049141386
unaltered_nonzero_primary,racket,3,FP,24,483.511680088,0.0218888536041,3.31408637623,0.00642757823422
unaltered_nonzero_primary,racket,3,FP,25,228.30501364,0.0103355001056,6.35075333791,0.0123171092396
unaltered_nonzero_primary,racket,3,FP,26,1164.59211655,0.0527217591579,13.6480196003,0.0264699539373
unaltered_nonzero_primary,racket,3,FP,27,27.847510552,0.00126067292025,72.1129783447,0.139861113258
unaltered_nonzero_primary,racket,3,FP,28,1102.78115306,0.0499235410657,32.9817407647,0.0639671677196
unaltered_nonzero_primary,racket,3,FP,29,1242.00629247,0.0562263437073,8.23113022923,0.0159640478546
unaltered_nonzero_primary,racket,3,FP,30,179.142214388,0.00810987172911,19.6355954183,0.0380826904911
unaltered_nonzero_primary,racket,4,BA,1,537.170853492,0.00753701404816,18.4809414229,0.0233615496105
unaltered_nonzero_primary,racket,4,BA,2,2648.96345552,0.0371674573323,10.1782396862,0.0128661979894
unaltered_nonzero_primary,racket,4,BA,3,2994.84687505,0.0420205281478,113.62985349,0.143638216193
unaltered_nonzero_primary,racket,4,BA,4,2189.16583904,0.0307160628231,18.2566667534,0.0230780465303
unaltered_nonzero_primary,racket,4,BA,5,1858.19300485,0.0260722015923,27.1918132675,0.0343728644614
unaltered_nonzero_primary,racket,4,BA,6,610.891565301,0.00857138521132,18.0655523329,0.0228364609469
unaltered_nonzero_primary,racket,4,BA,7,976.63824374,0.013703156296,11.6915541588,0.0147791617458
unaltered_nonzero_primary,racket,4,BA,8,980.028500541,0.0137507247985,12.2531498687,0.0154890685486
unaltered_nonzero_primary,racket,4,BA,9,995.181981867,0.0139633424432,9.39544149404,0.0118766716237
unaltered_nonzero_primary,racket,4,BA,10,4416.29741695,0.061964820794,38.372615421,0.0485063903581
unaltered_nonzero_primary,racket,4,BA,11,2199.55701933,0.0308618608896,17.7246022896,0.0224054698427
unaltered_nonzero_primary,racket,4,BA,12,3103.59165882,0.0435463200958,19.6168647354,0.024797457458
unaltered_nonzero_primary,racket,4,BA,13,4738.37529189,0.0664838773515,72.8708538826,0.0921152244999
unaltered_nonzero_primary,racket,4,BA,14,2116.96711633,0.0297030466034,18.9095529447,0.0239033526011
