curve_family,normalised_time_pct,sigma2_action,raw_sigma2_action,omega_action,sigma2_athlete,raw_sigma2_athlete,omega_athlete,sigma2_action_x_athlete,raw_sigma2_action_x_athlete,omega_action_x_athlete,sigma2_trial_residual,raw_sigma2_trial_residual,omega_trial_residual
racket,52.76381909547738,232.1537570655408,232.1537570655408,0.3072504101208664,0.0,-9.710970485914755,0.0,195.77621523304305,195.77621523304305,0.2591055306732835,327.6548842821314,327.6548842821314,0.43364405920585003
racket,53.26633165829145,244.74071458110237,244.74071458110237,0.3495958303287301,0.0,-4.979181284476823,0.0,190.3564955227786,190.3564955227786,0.27191159110839447,264.97039182080186,264.97039182080186,0.37849257856287555
racket,53.768844221105525,263.43236783727855,263.43236783727855,0.3297542952642837,0.0,-4.754693997432926,0.0,188.33189177631414,188.33189177631414,0.23574646790119894,347.1104529239619,347.1104529239619,0.4344992368345173
racket,54.27135678391959,270.8567923210975,270.8567923210975,0.37062102048257356,0.0,-4.2999374517858024,0.0,187.089829265709,187.089829265709,0.2560003123797112,272.87213221302835,272.87213221302835,0.37337866713771517
racket,54.77386934673366,282.5517538774117,282.5517538774117,0.4118205555143177,0.0,-0.6499422039491461,0.0,175.6401639317507,175.6401639317507,0.25599639318601275,227.9121391496659,227.9121391496659,0.33218305129966963
racket,55.27638190954774,294.8723620195774,294.8723620195774,0.4203990850041393,0.2532434263712215,0.2532434263712215,0.00036104877378337086,166.49391336337968,166.49391336337968,0.23737012298248614,239.7910516172797,239.7910516172797,0.34186974323959124
racket,55.778894472361806,305.99381318999883,305.99381318999883,0.41378973246629663,1.388314770168963,1.388314770168963,0.0018773921973726999,160.75344899631682,160.75344899631682,0.2173838940067645,271.35549587945667,271.35549587945667,0.36694898132956616
racket,56.281407035175874,313.3743007174883,313.3743007174883,0.4115659896088799,1.6599900878549305,1.6599900878549305,0.002180126008050855,160.8820370336364,160.8820370336364,0.21129229368981847,285.5030037615122,285.5030037615122,0.37496159069325075
racket,56.78391959798994,321.0205738447863,321.0205738447863,0.4636880037485474,3.5537413421432,3.5537413421432,0.005133089163231605,145.5467133793476,145.5467133793476,0.21023034184613448,222.19917650608022,222.19917650608022,0.32094856524208654
racket,57.28643216080401,326.4121850017583,326.4121850017583,0.48132363769005954,4.72564608696026,4.72564608696026,0.006968383134959423,137.70185446532815,137.70185446532815,0.20305356403150784,209.31563332506903,209.31563332506903,0.3086544151434732
racket,57.78894472361809,331.1943825906336,331.1943825906336,0.4789311940395451,5.715955758050249,5.715955758050249,0.008265688248897368,137.5602898029336,137.5602898029336,0.19892219587907958,217.0574800870099,217.0574800870099,0.3138809218324779
racket,58.291457286432156,337.26263709917276,337.26263709917276,0.4928284817124328,7.499511528213762,7.499511528213762,0.010958738008526175,134.81766303415853,134.81766303415853,0.19700369051436115,204.76098765119994,204.76098765119994,0.29920908976467997
racket,58.793969849246224,332.4914214073526,332.4914214073526,0.42521442298736917,7.1368117618090885,7.1368117618090885,0.009127078474452373,144.37722392476826,144.37722392476826,0.1846401862154358,297.9327920167526,297.9327920167526,0.38101831232274264
racket,59.2964824120603,330.6181107309357,330.6181107309357,0.41016801349637333,4.684146229597982,4.684146229597982,0.00581119694161073,157.44756945930732,157.44756945930732,0.19533097159191296,313.3054968918561,313.3054968918561,0.38868981797010305
racket,59.79899497487437,326.84188726696067,326.84188726696067,0.4768690173493892,4.341840756264467,4.341840756264467,0.006334834718526189,153.60569431134908,153.60569431134908,0.22411385859393876,200.6019018568491,200.6019018568491,0.2926822893381459
racket,60.30150753768844,323.00062721785656,323.00062721785656,0.4842914074056174,4.897936087072431,4.897936087072431,0.0073437267952770596,155.0957800255847,155.0957800255847,0.23254305800651412,183.96076319965022,183.96076319965022,0.27582180779259147
racket,60.804020100502505,313.1150838789868,313.1150838789868,0.4849271662017166,3.956888221748098,3.956888221748098,0.006128106536990842,162.04185446579137,162.04185446579137,0.25095724012624165,166.5812503488787,166.5812503488787,0.2579874871350508
racket,61.306532663316574,299.00261805707976,299.00261805707976,0.44560216042898443,2.9212708583636595,2.9212708583636595,0.004353555879021034,176.4474308641715,176.4474308641715,0.2629587556996209,192.63668828127015,192.63668828127015,0.28708552799237375
racket,61.80904522613065,284.95932719642786,284.95932719642786,0.4196265697417512,3.077101407610177,3.077101407610177,0.00453129055689025,177.042681394924,177.042681394924,0.26071023476421584,213.99926049554463,213.99926049554463,0.31513190493714266
racket,62.31155778894472,271.3681224693932,271.3681224693932,0.45412902149284873,3.4427625275284783,3.4427625275284783,0.005761392913919329,178.24019885897053,178.24019885897053,0.2982813396132941,144.50623934122586,144.50623934122586,0.2418282459799378
racket,62.81407035175879,254.74473007973057,254.74473007973057,0.43538254958475897,3.669191291875001,3.669191291875001,0.0062709908035025646,180.2096309807326,180.2096309807326,0.3079950999243961,146.48196077098387,146.48196077098387,0.2503513596873425
racket,63.31658291457286,238.48871668912392,238.48871668912392,0.4340631769772718,3.720083789907021,3.720083789907021,0.0067707663946783726,183.57614587509462,183.57614587509462,0.33411914073761534,123.64824526077047,123.64824526077047,0.22504691589043446
racket,63.81909547738693,221.08926436899594,221.08926436899594,0.41405340038702726,3.8124673491016257,3.8124673491016257,0.007139944466617941,187.58496193590273,187.58496193590273,0.3513069328477242,121.47647187570595,121.47647187570595,0.22749972229863072
racket,64.321608040201,202.62279863844017,202.62279863844017,0.37387106176964907,3.0967441711904575,3.0967441711904575,0.005713982035051715,189.49040392461512,189.49040392461512,0.3496397196490767,146.74908502221828,146.74908502221828,0.27077523654622254
racket,64.82412060301507,188.47988535507213,188.47988535507213,0.35915231435300826,3.692603545024934,3.692603545024934,0.007036332321008272,189.22399087120775,189.22399087120775,0.3605702227825443,143.3944733222525,143.3944733222525,0.273241130543439
racket,65.32663316582914,172.50411328206877,172.50411328206877,0.3570701089269815,5.636323986217533,5.636323986217533,0.011666752643837696,183.46556396580957,183.46556396580957,0.3797594600106922,121.50392303387117,121.50392303387117,0.25150367841848864
