scenario,scenario_interpretation,analysis_method,waveform,action_id,action_label_en,action_label,code_definition,n_archive_codes,n_trials_total,min_trials_per_code,max_trials_per_code,exact_duplicates_removed,participant_identity_author_confirmed,integrated_sigma2_athlete,integrated_sigma2_trial,boundary_nodes,boundary_fraction,R_L2_m1,mean_pointwise_reliability_m1,R_L2_m2,mean_pointwise_reliability_m2,R_L2_m5,mean_pointwise_reliability_m5,R_L2_m10,mean_pointwise_reliability_m10,R_L2_m15,mean_pointwise_reliability_m15,R_L2_m20,mean_pointwise_reliability_m20,R_L2_m30,mean_pointwise_reliability_m30,R_L2_m40,mean_pointwise_reliability_m40,R_L2_m50,mean_pointwise_reliability_m50,required_n_R_L2_80,required_n_mean_pointwise_R_80,required_n_R_L2_90,required_n_mean_pointwise_R_90
codes_11_40_alternative_window,alternative_contiguous_30_code_boundary_check,balanced_constrained_REML,body_configuration,5,backhand_drive,backhand drive,11-40,30,1500,50,50,0,False,1.29283547246,1.23099493864,0,0,0.51225132512,0.529264832488,0.677468508853,0.689607615685,0.840030230579,0.845998091494,0.913061336297,0.916211721595,0.940311134118,0.942441738483,0.954555213649,0.95616311019,0.969237477005,0.97031526645,0.976749295168,0.977559591029,0.981312536796,0.981961643757,4,4,9,9
codes_11_40_alternative_window,alternative_contiguous_30_code_boundary_check,balanced_constrained_REML,body_configuration,6,backhand_push,backhand push,11-40,30,1500,50,50,0,False,0.993151362244,0.437936070137,0,0,0.693983707614,0.664122557509,0.819351100598,0.793321376246,0.91895615096,0.903433238705,0.957766700922,0.948760835657,0.971442440633,0.965119983113,0.97842781826,0.973559699572,0.985514383388,0.982181545278,0.98909630084,0.986562935953,0.991257976593,0.989214839921,2,3,4,5
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,racket,1,forehand_attack,forehand attack,1-40,40,2000,50,50,0,False,53.6483259258,38.2876509889,0,0,0.583540064795,0.576974730772,0.737007010771,0.726376691247,0.875093006085,0.865852360294,0.933386240837,0.927133965916,0.954582347026,0.949922810878,0.965545550208,0.961839570796,0.976763499863,0.974136841872,0.982470795557,0.980437305543,0.985927299798,0.984268581284,3,4,7,8
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,racket,2,forehand_drive,forehand drive,1-40,40,2000,50,50,0,False,183.519826013,145.49318471,0,0,0.557788962842,0.573561591444,0.716129047191,0.716892648681,0.863141532783,0.854504730069,0.9265442454,0.9181152027,0.949800345773,0.942690050999,0.961871753127,0.955827358873,0.974253951521,0.969648410746,0.980565372425,0.976856427276,0.984391629366,0.981289399136,4,4,8,8
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,racket,3,forehand_push,forehand push,1-40,40,2000,50,50,0,False,17.0871881342,15.2708130359,0,0,0.528066861867,0.526958526418,0.691156748497,0.68254719916,0.848363565761,0.838390229087,0.917961792232,0.910732348994,0.943770197412,0.938286920298,0.957226359722,0.952834367106,0.971071784791,0.967941828852,0.978145787754,0.975717794848,0.982439877675,0.980457523068,4,4,9,9
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,racket,4,backhand_attack,backhand attack,1-40,40,2000,50,50,0,False,25.4909450207,48.8930281989,0,0,0.342694049771,0.39984930956,0.5104573895,0.55503008609,0.722746520535,0.743854232408,0.839063102923,0.84860755501,0.88662675591,0.892363014676,0.912489736311,0.916461843789,0.939906903295,0.942280295677,0.954242753816,0.955901647495,0.963056112946,0.964319827488,8,8,18,17
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,racket,5,backhand_drive,backhand drive,1-40,40,2000,50,50,0,False,72.8993850182,195.453619288,0,0,0.271654812312,0.387908545224,0.427246151522,0.547512189475,0.650944853523,0.740242572977,0.788572497905,0.846256046546,0.848361480827,0.890508547839,0.881789805925,0.914915140322,0.917960571703,0.941113839973,0.937182041425,0.954964688315,0.949106224524,0.963536933774,11,8,25,17
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,racket,6,backhand_push,backhand push,1-40,40,2000,50,50,0,False,15.4841233516,16.9257833956,0,0,0.47775896032,0.494683115951,0.646599307666,0.653426941924,0.820599584425,0.819899616935,0.901460806039,0.899674933903,0.932076150223,0.930438271762,0.948177110121,0.94675700994,0.964844113536,0.963757381531,0.973399292287,0.972527996641,0.978605612661,0.977880555052,5,5,10,11
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,body_configuration,1,forehand_attack,forehand attack,1-40,40,2000,50,50,0,False,1.20591040604,0.678650792371,0,0,0.639889225703,0.621793903615,0.780405426993,0.760008093318,0.89883269628,0.88372843904,0.946721317829,0.936918367333,0.963838669203,0.956604855787,0.972631582301,0.966897799452,0.981586404543,0.977530159658,0.986125935555,0.982986222411,0.9888698644,0.986308262848,3,3,6,6
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,body_configuration,2,forehand_drive,forehand drive,1-40,40,2000,50,50,0,False,4.75985477637,3.04350900218,0,0,0.609974738004,0.634181036144,0.75774448332,0.770893263437,0.886617232821,0.88938180653,0.939901552256,0.93946812404,0.959115333166,0.958037438012,0.969019846562,0.967801791926,0.979131056686,0.977965820261,0.984266205599,0.983228141386,0.987373231082,0.986453333189,3,3,6,6
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,body_configuration,3,forehand_push,forehand push,1-40,40,2000,50,50,0,False,1.42024323861,0.53739574745,0,0,0.725487819114,0.709852974933,0.840907494191,0.827521306045,0.929647460607,0.921890850412,0.963541247389,0.959105461178,0.975395144142,0.972298171557,0.981432143246,0.979054478025,0.987544337177,0.985921420991,0.990629072604,0.989397363916,0.992489181416,0.991496753728,2,2,4,4
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,body_configuration,4,backhand_attack,backhand attack,1-40,40,2000,50,50,0,False,0.605841797627,0.447090868106,0,0,0.57538512893,0.573563318407,0.730469163843,0.722733289925,0.871388865577,0.863579052382,0.931275034928,0.92593385011,0.953109166316,0.949147343135,0.964414718862,0.961278729557,0.975991698522,0.973784294703,0.981885046576,0.980183616055,0.985455342101,0.984071613393,3,4,7,8
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,body_configuration,5,backhand_drive,backhand drive,1-40,40,2000,50,50,0,False,1.32921205442,1.20063139783,0,0,0.525412769409,0.548274074929,0.688879469146,0.705874938412,0.846988839585,0.855801171291,0.91715642394,0.921951594655,0.943202513667,0.946486902825,0.956788306355,0.959284282043,0.970771195522,0.972456800001,0.977917031953,0.979189276429,0.982255254231,0.983276888567,4,4,9,8
codes_1_40_all_archive_codes,complete_archive_code_scenario_identity_not_established,balanced_constrained_REML,body_configuration,6,backhand_push,backhand push,1-40,40,2000,50,50,0,False,1.08458371324,0.401681333912,0,0,0.72973775123,0.704141076824,0.843755362003,0.822749144344,0.931037094255,0.919167144605,0.964287114965,0.957555582171,0.97590457088,0.971217849495,0.981818907856,0.978225747962,0.987805367995,0.985356215252,0.990826057784,0.988968575402,0.99264735568,0.99115134841,2,2,4,4
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,racket,1,forehand_attack,forehand attack,1-40,40,1999,49,50,1,False,53.6574375361,38.2853168477,0,0,0.583596150624,0.57704753374,0.737051741877,0.726448679424,0.875118230493,0.86590158929,0.933400589106,0.927164289262,0.954592351866,0.949944543204,0.965553227164,0.961856473699,0.976768737435,0.974148526417,0.98247476977,0.980446227989,0.985930501576,0.984275796152,3,4,7,8
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,racket,2,forehand_drive,forehand drive,1-40,40,1999,49,50,1,False,183.509001238,145.511725244,0,0,0.557742982335,0.573864565906,0.716091150671,0.717128568497,0.86311951099,0.854642343979,0.926531557314,0.918196531078,0.949791457056,0.942747822387,0.961864916042,0.955872158341,0.974249275346,0.969679320924,0.980561819702,0.976880017098,0.984388764962,0.981308469391,4,4,8,8
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,racket,3,forehand_push,forehand push,1-40,40,1998,49,50,2,False,17.096839502,15.2537155609,0,0,0.528486743697,0.527367205876,0.691516293322,0.682885208548,0.848580190953,0.838592382564,0.918088590483,0.910851198566,0.943859545742,0.938370905049,0.957295293907,0.952899275785,0.971119078855,0.967986449119,0.978181776543,0.975751785767,0.982468921839,0.980484973586,4,4,9,9
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,racket,4,backhand_attack,backhand attack,1-40,40,1999,49,50,1,False,25.4912023362,48.88404465,0,0,0.34273771677,0.399882482998,0.510505830721,0.555071371792,0.722785363309,0.743890421448,0.839089277982,0.848633038612,0.886646240211,0.892382327761,0.912505214432,0.916477336341,0.939917851385,0.942291367762,0.954251217248,0.955910253028,0.963063009326,0.964326862879,8,8,18,17
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,racket,5,backhand_drive,backhand drive,1-40,40,1998,48,50,2,False,72.9307329668,195.543513265,0,0,0.271648897391,0.387916081637,0.427238836047,0.54752036648,0.650938060901,0.740249038288,0.788567513606,0.846260646993,0.848357634977,0.890512085822,0.881786689747,0.914918002697,0.91795832032,0.941115901975,0.937180281433,0.954966296004,0.949104780473,0.963538249964,11,8,25,17
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,racket,6,backhand_push,backhand push,1-40,40,1999,49,50,1,False,15.4896131921,16.9294099053,0,0,0.477793952814,0.494745330165,0.646631354668,0.653481540205,0.820620230092,0.819934238918,0.901473263373,0.899695737414,0.932085028754,0.930453072947,0.948184001045,0.946768485859,0.964848870399,0.963765294181,0.973402923478,0.97253403289,0.978608548769,0.977885433812,5,5,10,11
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,body_configuration,1,forehand_attack,forehand attack,1-40,40,1999,49,50,1,False,1.20576416731,0.678804665934,0,0,0.639809035383,0.621692335435,0.780345786098,0.759929428262,0.898801048794,0.883683780553,0.94670376274,0.936892456311,0.963826538701,0.956586556804,0.972622317643,0.966883636611,0.981580113831,0.977520391313,0.986121173773,0.98297876128,0.988866033742,0.986302225261,3,3,6,6
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,body_configuration,2,forehand_drive,forehand drive,1-40,40,1999,49,50,1,False,4.75992985937,3.04351054725,0,0,0.609978369968,0.634376208759,0.757747285735,0.771035022058,0.886618767503,0.889456701692,0.9399024146,0.939509665177,0.959115931807,0.958066012125,0.969020304863,0.967823487449,0.979131368629,0.977980385417,0.984266442017,0.983239064075,0.987373421412,0.986462054846,3,3,6,6
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,body_configuration,3,forehand_push,forehand push,1-40,40,1998,49,50,2,False,1.4201075947,0.53699065967,0,0,0.725618957315,0.710050143041,0.840995579284,0.827666680953,0.929690520918,0.921967774894,0.963564375572,0.95914811538,0.975410944518,0.972327643524,0.981444140625,0.979076986721,0.98755243533,0.985936704193,0.99063518421,0.989408932544,0.992494089073,0.991506060195,2,2,4,4
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,body_configuration,4,backhand_attack,backhand attack,1-40,40,1999,49,50,1,False,0.605409260452,0.447076521647,0,0,0.575218469217,0.573356304214,0.730334846192,0.72255311848,0.871312401919,0.8634659193,0.931231365779,0.925865868739,0.953078671971,0.949098910234,0.96439130213,0.961241137147,0.975975710194,0.973758338185,0.98187291003,0.980163798098,0.985445562103,0.984055586724,3,4,7,8
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,body_configuration,5,backhand_drive,backhand drive,1-40,40,1998,48,50,2,False,1.32965851503,1.20134648091,0,0,0.525348040468,0.548260335001,0.68882383106,0.70585966842,0.846955194713,0.855789408313,0.917136698429,0.921943941807,0.943188605721,0.946481297198,0.956777572701,0.959279869296,0.970763829043,0.972453709384,0.977911425446,0.979186899716,0.982250729139,0.9832749582,4,4,9,8
codes_1_40_exact_pair_deduplicated,all_archive_codes_after_one_record_per_exact_pair_group_removed,unbalanced_profile_REML,body_configuration,6,backhand_push,backhand push,1-40,40,1999,49,50,1,False,1.08466040715,0.401711374587,0,0,0.729736947698,0.704165579267,0.843754824882,0.822771725235,0.931036832658,0.919180927022,0.964286974657,0.957563623555,0.975904475074,0.971223503865,0.981818835128,0.978230104886,0.987805318916,0.985359200189,0.990826020749,0.988970845072,0.992647325944,0.991153179234,2,2,4,4
