curve_family,normalised_time_pct,component,display_rolling_11
body14mean,80.90452261306532,within-cell unexplained,0.1654454824295007
body14mean,81.40703517587939,within-cell unexplained,0.16354576629142395
body14mean,81.90954773869346,within-cell unexplained,0.16256489476216188
body14mean,82.41206030150752,within-cell unexplained,0.16200543493104946
body14mean,82.9145728643216,within-cell unexplained,0.16190810649283358
body14mean,83.41708542713567,within-cell unexplained,0.16237950499778103
body14mean,83.91959798994974,within-cell unexplained,0.16354717681968495
body14mean,84.42211055276381,within-cell unexplained,0.16534451622253005
body14mean,84.92462311557789,within-cell unexplained,0.16758090399870768
body14mean,85.42713567839195,within-cell unexplained,0.17039409312935772
body14mean,85.92964824120602,within-cell unexplained,0.17351041892910823
body14mean,86.4321608040201,within-cell unexplained,0.1767961623180082
body14mean,86.93467336683416,within-cell unexplained,0.1802721808767417
body14mean,87.43718592964824,within-cell unexplained,0.1837612358137607
body14mean,87.9396984924623,within-cell unexplained,0.18717213444625738
body14mean,88.44221105527637,within-cell unexplained,0.19051129885080223
body14mean,88.94472361809045,within-cell unexplained,0.19354508483887597
body14mean,89.44723618090451,within-cell unexplained,0.19628939292327752
body14mean,89.94974874371859,within-cell unexplained,0.19866640831133814
body14mean,90.45226130653263,within-cell unexplained,0.20069294863488174
body14mean,90.95477386934672,within-cell unexplained,0.20236261489689522
body14mean,91.4572864321608,within-cell unexplained,0.20366616276754418
body14mean,91.95979899497486,within-cell unexplained,0.20469650577367962
body14mean,92.46231155778894,within-cell unexplained,0.2055355183695693
body14mean,92.964824120603,within-cell unexplained,0.20609445728755277
body14mean,93.46733668341707,within-cell unexplained,0.20636170067751777
body14mean,93.96984924623116,within-cell unexplained,0.20628635532901524
body14mean,94.47236180904522,within-cell unexplained,0.20596391625711077
body14mean,94.97487437185929,within-cell unexplained,0.20546410274096027
body14mean,95.47738693467336,within-cell unexplained,0.20485492676459535
body14mean,95.97989949748742,within-cell unexplained,0.20415867516603337
body14mean,96.4824120603015,within-cell unexplained,0.20339523607982138
body14mean,96.98492462311556,within-cell unexplained,0.20281266517088054
body14mean,97.48743718592964,within-cell unexplained,0.20224828449382673
body14mean,97.98994974874373,within-cell unexplained,0.20174486081913084
body14mean,98.49246231155776,within-cell unexplained,0.20114642526602333
body14mean,98.99497487437183,within-cell unexplained,0.20060232396438507
body14mean,99.49748743718592,within-cell unexplained,0.20016071231776725
body14mean,100.0,within-cell unexplained,0.20000659833822798
racket,0.0,fixed-action contrast dispersion,0.2890093152297656
racket,0.5025125628140703,fixed-action contrast dispersion,0.29140150385228925
racket,1.0050251256281406,fixed-action contrast dispersion,0.2935954210696021
racket,1.507537688442211,fixed-action contrast dispersion,0.2937803691747619
racket,2.0100502512562812,fixed-action contrast dispersion,0.29566598799656874
racket,2.5125628140703515,fixed-action contrast dispersion,0.2973762728780041
racket,3.015075376884422,fixed-action contrast dispersion,0.3010242745623165
racket,3.517587939698492,fixed-action contrast dispersion,0.30418738024451747
racket,4.0201005025125625,fixed-action contrast dispersion,0.3054294014386849
racket,4.522613065326633,fixed-action contrast dispersion,0.3073201605152065
racket,5.025125628140703,fixed-action contrast dispersion,0.3088976153593554
racket,5.527638190954773,fixed-action contrast dispersion,0.3099698070885765
racket,6.030150753768844,fixed-action contrast dispersion,0.31067384321968616
racket,6.532663316582914,fixed-action contrast dispersion,0.31100445426566153
racket,7.035175879396984,fixed-action contrast dispersion,0.31255585755572884
racket,7.537688442211055,fixed-action contrast dispersion,0.31266925585653266
racket,8.040201005025125,fixed-action contrast dispersion,0.31271678354987975
racket,8.542713567839195,fixed-action contrast dispersion,0.3127768814942536
racket,9.045226130653266,fixed-action contrast dispersion,0.3130105647332186
racket,9.547738693467336,fixed-action contrast dispersion,0.31492103047180486
racket,10.050251256281406,fixed-action contrast dispersion,0.3131480781839397
racket,10.552763819095476,fixed-action contrast dispersion,0.3003288602890658
racket,11.055276381909549,fixed-action contrast dispersion,0.30054562288534276
racket,11.557788944723615,fixed-action contrast dispersion,0.30303709449712846
racket,12.060301507537687,fixed-action contrast dispersion,0.30536934349090505
racket,12.562814070351758,fixed-action contrast dispersion,0.3095415711551763
racket,13.065326633165828,fixed-action contrast dispersion,0.30701654811091184
racket,13.567839195979898,fixed-action contrast dispersion,0.3122388647233223
racket,14.070351758793969,fixed-action contrast dispersion,0.31848775493199394
racket,14.57286432160804,fixed-action contrast dispersion,0.3256466805452411
racket,15.07537688442211,fixed-action contrast dispersion,0.3332784510552091
racket,15.57788944723618,fixed-action contrast dispersion,0.34451808535214107
racket,16.08040201005025,fixed-action contrast dispersion,0.36762082918357014
racket,16.58291457286432,fixed-action contrast dispersion,0.3786933699754661
racket,17.08542713567839,fixed-action contrast dispersion,0.3883380892802358
racket,17.587939698492463,fixed-action contrast dispersion,0.39905506467022084
racket,18.09045226130653,fixed-action contrast dispersion,0.40860131676928707
racket,18.5929648241206,fixed-action contrast dispersion,0.42535393146096095
racket,19.09547738693467,fixed-action contrast dispersion,0.4347658179217164
racket,19.597989949748744,fixed-action contrast dispersion,0.44310425689189437
racket,20.100502512562812,fixed-action contrast dispersion,0.4288325297707148
racket,20.60301507537688,fixed-action contrast dispersion,0.4363250762730717
racket,21.105527638190953,fixed-action contrast dispersion,0.4431237050048726
racket,21.608040201005025,fixed-action contrast dispersion,0.4489817122206498
racket,22.110552763819097,fixed-action contrast dispersion,0.4537849262853431
racket,22.61306532663316,fixed-action contrast dispersion,0.45735222525078234
racket,23.11557788944723,fixed-action contrast dispersion,0.4596827842882423
racket,23.618090452261303,fixed-action contrast dispersion,0.4607386353288667
racket,24.120603015075375,fixed-action contrast dispersion,0.4602553134347117
racket,24.623115577889443,fixed-action contrast dispersion,0.4579458931552782
racket,25.125628140703515,fixed-action contrast dispersion,0.4535881206170393
racket,25.628140703517587,fixed-action contrast dispersion,0.47004588981925094
racket,26.130653266331656,fixed-action contrast dispersion,0.4625074828995327
racket,26.633165829145725,fixed-action contrast dispersion,0.4510886071973459
racket,27.135678391959797,fixed-action contrast dispersion,0.4396145034816776
racket,27.63819095477387,fixed-action contrast dispersion,0.4262924473235816
racket,28.140703517587937,fixed-action contrast dispersion,0.41076527468186386
racket,28.64321608040201,fixed-action contrast dispersion,0.39313545261386484
racket,29.14572864321608,fixed-action contrast dispersion,0.37352786051045805
racket,29.64824120603015,fixed-action contrast dispersion,0.35261559168308404
racket,30.15075376884422,fixed-action contrast dispersion,0.3305662851969625
racket,30.653266331658287,fixed-action contrast dispersion,0.30849697927792774
racket,31.15577889447236,fixed-action contrast dispersion,0.28518412582703795
racket,31.65829145728643,fixed-action contrast dispersion,0.26166353861137365
racket,32.1608040201005,fixed-action contrast dispersion,0.240490376430152
racket,32.66331658291457,fixed-action contrast dispersion,0.21763507248539413
racket,33.16582914572864,fixed-action contrast dispersion,0.19634018696048283
racket,33.66834170854271,fixed-action contrast dispersion,0.17695157314896015
racket,34.17085427135678,fixed-action contrast dispersion,0.1592765676261919
racket,34.67336683417085,fixed-action contrast dispersion,0.14405909950882387
racket,35.175879396984925,fixed-action contrast dispersion,0.1306574287696249
racket,35.678391959798994,fixed-action contrast dispersion,0.12024388628032465
racket,36.18090452261306,fixed-action contrast dispersion,0.11162507796600844
racket,36.68341708542713,fixed-action contrast dispersion,0.10558315610048168
racket,37.1859296482412,fixed-action contrast dispersion,0.10157799550209914
racket,37.688442211055275,fixed-action contrast dispersion,0.09945277001679234
racket,38.19095477386934,fixed-action contrast dispersion,0.09947486596197462
racket,38.69346733668341,fixed-action contrast dispersion,0.1005775777689877
racket,39.19597989949749,fixed-action contrast dispersion,0.10256888266935373
racket,39.69849246231155,fixed-action contrast dispersion,0.1061032773039746
racket,40.201005025125625,fixed-action contrast dispersion,0.11003504289138616
racket,40.70351758793969,fixed-action contrast dispersion,0.11501499239283182
racket,41.20603015075376,fixed-action contrast dispersion,0.11986466383254134
racket,41.70854271356784,fixed-action contrast dispersion,0.12552371977529264
racket,42.211055276381906,fixed-action contrast dispersion,0.13018336168858446
