waveform,action_id,action_code,trials,R_L2_independence
racket,3,FP,40,0.9789594659318754
racket,3,FP,41,0.9794621099780567
racket,3,FP,42,0.9799412987071234
racket,3,FP,43,0.9803986364605353
racket,3,FP,44,0.9808355845256427
racket,3,FP,45,0.9812534767326151
racket,3,FP,46,0.9816535330543089
racket,3,FP,47,0.9820368715011695
racket,3,FP,48,0.9824045185554329
racket,3,FP,49,0.9827574183496999
racket,3,FP,50,0.9830964407626993
racket,4,BA,1,0.3517595624039214
racket,4,BA,2,0.5204469377355314
racket,4,BA,3,0.6194698209395212
racket,4,BA,4,0.6845973046723431
racket,4,BA,5,0.7306895984309437
racket,4,BA,6,0.7650279281896605
racket,4,BA,7,0.791599909737651
racket,4,BA,8,0.8127726463452919
racket,4,BA,9,0.8300400011046671
racket,4,BA,10,0.8443912751233871
racket,4,BA,11,0.8565076444322207
racket,4,BA,12,0.8668734539224295
racket,4,BA,13,0.8758425223771944
racket,4,BA,14,0.8836793364803944
racket,4,BA,15,0.8905855701094691
racket,4,BA,16,0.8967176860086813
racket,4,BA,17,0.9021989326820875
racket,4,BA,18,0.9071277137151429
racket,4,BA,19,0.9115835478323456
racket,4,BA,20,0.9156313917901163
racket,4,BA,21,0.9193248278003212
racket,4,BA,22,0.9227084488458092
racket,4,BA,23,0.9258196678988946
racket,4,BA,24,0.9286901070890143
racket,4,BA,25,0.9313466763591812
racket,4,BA,26,0.933812419677178
racket,4,BA,27,0.9361071852146657
racket,4,BA,28,0.9382481607846547
racket,4,BA,29,0.9402503051178899
racket,4,BA,30,0.9421266978758356
racket,4,BA,31,0.9438888257204338
racket,4,BA,32,0.9455468176665455
racket,4,BA,33,0.9471096399062906
racket,4,BA,34,0.9485852580202988
racket,4,BA,35,0.9499807727722348
racket,4,BA,36,0.9513025343730447
racket,4,BA,37,0.9525562390949655
racket,4,BA,38,0.9537470113362742
racket,4,BA,39,0.9548794736303523
racket,4,BA,40,0.9559578066158945
racket,4,BA,41,0.9569858006084857
