waveform,action_id,action_code,action_label_en,archive_order_lag,rho_L2_trace,lag1_permutation_replicates,lag1_permutation_null_p025,lag1_permutation_null_p975,lag1_permutation_two_sided_p,order_interpretation
body_configuration,2,FD,forehand_drive,5,0.082429865684,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,6,0.0866795596614,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,7,0.0255738046824,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,8,0.0437592209267,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,9,0.0311770979544,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,2,FD,forehand_drive,10,-0.0299115948498,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,1,0.328317717641,5000.0,-0.0542966364628,0.0119141283876,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,2,0.238450568837,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,3,0.197398468729,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,4,0.150667163369,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,5,0.127455933276,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,6,0.132358884749,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,7,0.106413792045,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,8,0.0526133429422,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,9,0.041006498009,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,3,FP,forehand_push,10,0.0387200563095,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,1,0.231903755181,5000.0,-0.0491936629823,0.0090535731007,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,2,0.162387268079,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,3,0.142154887097,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,4,0.112313541279,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,5,0.100041919131,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,6,0.0778859202383,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,7,0.0774126921426,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,8,0.0366419630488,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,9,0.0485673656207,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,4,BA,backhand_attack,10,0.0188177290788,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,1,0.135765881344,5000.0,-0.0507306491066,0.00976495548903,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,2,0.092295784798,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,3,0.102717590598,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,4,0.032714701226,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,5,0.0292574930451,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,6,0.038921742305,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,7,0.0206114092144,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,8,-0.0156954180697,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,9,-0.0148952982553,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,5,BD,backhand_drive,10,-0.0214228407362,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,1,0.281914296939,5000.0,-0.0521417383817,0.012011203574,0.000199960007998,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,2,0.217801500264,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,3,0.180207736391,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,4,0.139278643238,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,5,0.0916886204056,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,6,0.104491337194,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,7,0.101350618068,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,8,0.0783707895799,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,9,0.050884510597,,,,,numeric_archive_order_not_verified_acquisition_chronology
body_configuration,6,BP,backhand_push,10,0.0175110209268,,,,,numeric_archive_order_not_verified_acquisition_chronology
